iteration,timestamp,p1_wins,p2_wins,draws,p1_win_rate,p2_win_rate,draw_rate,avg_game_length,buffer_size,total_loss,value_loss,policy_loss,elapsed_time_s
74,2026-01-03 07:33:17,3,3,14,0.15,0.15,0.7,97.05,75000,0.504527160525322,0.05094846896827221,0.4917900383472443,199.6050751209259
75,2026-01-03 07:37:23,2,1,17,0.1,0.05,0.85,110.3,75000,0.5034101635217667,0.055668484419584274,0.4894930422306061,245.796484708786
76,2026-01-03 07:40:39,4,1,15,0.2,0.05,0.75,100.1,75000,0.5329375356435776,0.051861056685447694,0.5199722707271576,190.4812400341034
77,2026-01-03 07:44:08,2,2,16,0.1,0.1,0.8,102.35,75000,0.4938247501850128,0.058442313224077225,0.47921416759490965,209.36688256263733
78,2026-01-03 07:47:27,1,5,14,0.05,0.25,0.7,103.4,75000,0.47722224295139315,0.052700551599264144,0.46404711008071897,199.10188484191895
79,2026-01-03 07:51:13,0,2,18,0.0,0.1,0.9,112.55,75000,0.5089585572481156,0.059810780361294745,0.4940058648586273,225.19690561294556
80,2026-01-03 07:55:38,0,1,19,0.0,0.05,0.95,121.6,75000,0.5218382626771927,0.05275918282568455,0.5086484640836716,265.0993309020996
81,2026-01-03 07:59:26,3,1,16,0.15,0.05,0.8,107.3,75000,0.4995449364185333,0.057451823726296425,0.48518198132514956,222.500878572464
82,2026-01-03 08:03:08,3,2,15,0.15,0.1,0.75,101.9,75000,0.46572554409503936,0.05701350755989552,0.4514721691608429,221.89153242111206
83,2026-01-03 08:06:18,5,2,13,0.25,0.1,0.65,90.8,75000,0.49607276916503906,0.05609897598624229,0.48204801976680756,190.13181853294373
84,2026-01-03 08:09:43,4,1,15,0.2,0.05,0.75,98.0,75000,0.5209695845842361,0.05438117757439613,0.5073742955923081,204.69234681129456
85,2026-01-03 08:13:55,0,1,19,0.0,0.05,0.95,119.05,75000,0.4907294541597366,0.05735954381525517,0.47638956606388094,252.08773732185364
86,2026-01-03 08:18:13,1,2,17,0.05,0.1,0.85,112.05,75000,0.5092313587665558,0.05537212193012238,0.4953883230686188,252.73745727539062
87,2026-01-03 08:22:03,0,1,19,0.0,0.05,0.95,118.65,75000,0.4764302849769592,0.058506261184811593,0.46180371940135956,229.35975074768066
88,2026-01-03 08:25:21,3,2,15,0.15,0.1,0.75,102.0,75000,0.5039679706096649,0.05359834693372249,0.49056838154792787,198.47734355926514
89,2026-01-03 08:29:07,1,2,17,0.05,0.1,0.85,109.1,75000,0.5166744351387024,0.06371126808226109,0.5007466197013855,225.8166148662567
90,2026-01-03 08:33:31,3,1,16,0.15,0.05,0.8,110.85,75000,0.5091204941272736,0.059743592888116835,0.49418459832668304,263.63718700408936
91,2026-01-03 08:37:53,1,1,18,0.05,0.05,0.9,116.25,75000,0.49084052443504333,0.04522889833897352,0.4795332968235016,256.74053263664246
92,2026-01-03 08:41:32,2,2,16,0.1,0.1,0.8,108.4,75000,0.49931142628192904,0.04798411764204502,0.48731539249420164,218.96667551994324
93,2026-01-03 08:45:12,1,4,15,0.05,0.2,0.75,104.0,75000,0.5086553722620011,0.05292460471391678,0.4954242169857025,220.03989100456238
94,2026-01-03 08:49:33,0,1,19,0.0,0.05,0.95,118.95,75000,0.44657191038131716,0.04686734415590763,0.4348550707101822,261.12799096107483
95,2026-01-03 08:53:55,0,1,19,0.0,0.05,0.95,122.15,75000,0.5115296512842178,0.04705802090466023,0.499765145778656,261.95561265945435
96,2026-01-03 08:58:17,0,0,20,0.0,0.0,1.0,125.35,75000,0.518542954325676,0.04622259009629488,0.5069873064756394,255.7723445892334
97,2026-01-03 09:02:25,0,0,20,0.0,0.0,1.0,118.55,75000,0.47335200309753417,0.04812202267348766,0.461321496963501,248.3316295146942
98,2026-01-03 09:06:25,3,2,15,0.15,0.1,0.75,101.2,75000,0.4725878655910492,0.046118627116084096,0.4610582172870636,239.47460627555847
99,2026-01-03 09:10:13,0,1,19,0.0,0.05,0.95,120.5,75000,0.4972695857286453,0.04814588762819767,0.48523311614990233,227.66189074516296
100,2026-01-03 09:14:13,3,2,15,0.15,0.1,0.75,105.35,75000,0.48988973498344424,0.050031757727265355,0.4773817896842957,240.60366678237915
101,2026-01-03 09:18:08,4,1,15,0.2,0.05,0.75,100.6,75000,0.4971553921699524,0.056204314529895785,0.4831043124198914,228.42154359817505
102,2026-01-03 09:22:07,2,2,16,0.1,0.1,0.8,107.1,75000,0.45023563504219055,0.0419033233076334,0.43975980281829835,239.54107284545898
103,2026-01-03 09:26:25,2,0,18,0.1,0.0,0.9,116.1,75000,0.47355819046497344,0.046125736087560654,0.46202675998210907,258.01596903800964
104,2026-01-03 09:30:33,2,1,17,0.1,0.05,0.85,111.85,75000,0.4957995921373367,0.048955892026424405,0.48356062173843384,247.5627417564392
105,2026-01-03 09:34:39,1,2,17,0.05,0.1,0.85,111.95,75000,0.5021125167608261,0.04955515582114458,0.48972373008728026,246.23633217811584
106,2026-01-03 09:38:21,2,3,15,0.1,0.15,0.75,103.15,75000,0.47143528163433074,0.051188069954514505,0.45863826870918273,216.3841414451599
107,2026-01-03 09:41:37,3,2,15,0.15,0.1,0.75,96.9,75000,0.45798534750938413,0.049023779854178426,0.44572939574718473,196.52287316322327
108,2026-01-03 09:44:49,2,4,14,0.1,0.2,0.7,96.3,75000,0.46514843702316283,0.04490283541381359,0.4539227247238159,191.15020155906677
109,2026-01-03 09:48:40,3,0,17,0.15,0.0,0.85,107.85,75000,0.4994395226240158,0.04849989619106054,0.4873145431280136,231.53636837005615
110,2026-01-03 09:52:42,0,1,19,0.0,0.05,0.95,120.2,75000,0.4622785210609436,0.048254072293639184,0.4502149999141693,242.25825214385986
111,2026-01-03 09:57:00,4,0,16,0.2,0.0,0.8,108.4,75000,0.45604903995990753,0.04741615504026413,0.44419499933719636,251.80761981010437
112,2026-01-03 10:00:49,2,1,17,0.1,0.05,0.85,109.7,75000,0.4795526295900345,0.04406117685139179,0.46853733658790586,228.39421153068542
113,2026-01-03 10:05:02,2,1,17,0.1,0.05,0.85,112.05,75000,0.47747494876384733,0.046422865241765976,0.46586923599243163,253.00330352783203
114,2026-01-03 10:08:55,5,2,13,0.25,0.1,0.65,93.65,75000,0.5014509320259094,0.04986003413796425,0.4889859199523926,233.39814352989197
115,2026-01-03 10:12:52,1,1,18,0.05,0.05,0.9,117.9,75000,0.47685022950172423,0.044073084369301796,0.46583195924758913,236.90892338752747
116,2026-01-03 10:16:40,1,1,18,0.05,0.05,0.9,112.6,75000,0.4746233731508255,0.043165286630392076,0.46383205354213713,221.98002099990845
117,2026-01-03 10:20:42,1,2,17,0.05,0.1,0.85,109.5,75000,0.4860684335231781,0.04874993152916431,0.4738809436559677,242.20334672927856
118,2026-01-03 10:24:38,1,3,16,0.05,0.15,0.8,109.7,75000,0.48937961757183074,0.04524235092103481,0.4780690371990204,236.27209901809692
119,2026-01-03 10:29:10,1,1,18,0.05,0.05,0.9,119.4,75000,0.4778923034667969,0.04603972099721432,0.46638237237930297,271.87348651885986
120,2026-01-03 10:32:46,2,3,15,0.1,0.15,0.75,96.7,75000,0.4780352860689163,0.04353464841842651,0.4671516239643097,216.1251630783081
121,2026-01-03 10:37:07,1,0,19,0.05,0.0,0.95,122.25,75000,0.4313893437385559,0.03446615599095822,0.42277279794216155,254.3485472202301
122,2026-01-03 10:40:36,6,2,12,0.3,0.1,0.6,91.05,75000,0.49132171273231506,0.05024877823889255,0.47875951826572416,209.3284831047058
123,2026-01-03 10:44:41,0,0,20,0.0,0.0,1.0,122.2,75000,0.510149997472763,0.049056852236390114,0.49788578450679777,244.90599513053894
124,2026-01-03 10:48:42,2,1,17,0.1,0.05,0.85,110.1,75000,0.4992088466882706,0.04693483486771584,0.4874751389026642,240.46625185012817
125,2026-01-03 10:53:29,1,2,17,0.05,0.1,0.85,111.65,75000,0.48782216012477875,0.045909781008958817,0.4763447165489197,287.2976071834564
126,2026-01-03 10:58:20,2,2,16,0.1,0.1,0.8,110.2,75000,0.4930756241083145,0.04171431921422482,0.4826470404863358,285.3422145843506
127,2026-01-03 11:02:47,3,2,15,0.15,0.1,0.75,103.6,75000,0.47607957422733305,0.04165427982807159,0.46566600501537325,266.8198175430298
128,2026-01-03 11:07:22,1,3,16,0.05,0.15,0.8,109.35,75000,0.47545729875564574,0.04800263494253158,0.46345663964748385,275.3143825531006
129,2026-01-03 11:11:08,1,3,16,0.05,0.15,0.8,100.1,75000,0.5091552525758744,0.049238532222807406,0.4968456208705902,225.62616443634033
130,2026-01-03 11:15:33,4,2,14,0.2,0.1,0.7,79.1,75000,0.49566218852996824,0.04458022192120552,0.4845171332359314,187.58165097236633
131,2026-01-03 11:18:16,1,0,19,0.05,0.0,0.95,92.05,75000,0.4552066445350647,0.047158966213464736,0.4434168964624405,153.93054175376892
132,2026-01-03 11:20:47,1,3,16,0.05,0.15,0.8,82.9,75000,0.4753121048212051,0.051569980569183826,0.4624196082353592,151.26135873794556
133,2026-01-03 11:23:12,2,2,16,0.1,0.1,0.8,81.85,75000,0.4655019402503967,0.046628765761852264,0.453844752907753,145.52830529212952
134,2026-01-03 11:52:49,2,4,14,0.1,0.2,0.7,77.9,75000,0.45359312295913695,0.0449636559933424,0.44235220849514006,1277.5898909568787
135,2026-01-03 12:12:58,3,2,15,0.15,0.1,0.75,76.15,75000,0.479985436797142,0.04691388756036759,0.46825696527957916,1208.5371811389923
136,2026-01-03 12:33:29,0,3,17,0.0,0.15,0.85,82.7,75000,0.4978913843631744,0.042643625289201736,0.4872304767370224,1225.5613415241241
