Episode,Side,Opponent,Result,Reward,Steps,P1_WinRate,P2_WinRate,vsRandom_WinRate,Loss,Epsilon,LR,MaxQ,AvgQ
1220,Red (P1),Random,WIN ,1.0160,40,40.0,48.0,75.0,0.00462,0.3146,2.00e-06,0.00,0.00
1230,Red (P1),Random,WIN ,1.0030,61,38.0,49.0,75.0,0.00516,0.3139,2.00e-06,0.00,0.00
1240,Red (P1),Pool: gen9_champion.pth,DRAW,-0.4370,500,40.0,50.0,76.0,0.00538,0.3132,2.00e-06,0.00,0.00
1250,Red (P1),Random,LOSS,-0.0120,40,40.0,51.0,75.0,0.00554,0.3125,2.00e-06,7.00,2.29
1260,Blk (P2),Self-Play,LOSS,-0.0770,112,38.0,51.0,76.0,0.00630,0.3118,2.00e-06,0.00,0.00
1270,Red (P1),Pool: gen8_titan.pth,LOSS,-0.0160,44,38.0,51.0,75.0,0.00634,0.3111,2.00e-06,0.00,0.00
1280,Red (P1),Random,LOSS,-0.0450,94,38.0,50.0,74.0,0.00608,0.3104,2.00e-06,0.00,0.00
1290,Blk (P2),Pool: gen9_titan.pth,WIN ,1.0070,43,38.0,49.0,75.0,0.00679,0.3097,2.00e-06,0.00,0.00
1300,Red (P1),Self-Play,LOSS,-0.3000,356,37.0,49.0,75.0,0.00653,0.3090,2.00e-06,7.62,2.39
1310,Blk (P2),Self-Play,WIN ,0.7590,305,36.0,50.0,75.0,0.00674,0.3083,2.00e-06,0.00,0.00
1320,Blk (P2),Random,WIN ,1.0190,45,38.0,51.0,78.0,0.00753,0.3076,2.00e-06,0.00,0.00
1330,Red (P1),Pool: gen9_titan.pth,WIN ,0.6890,375,39.0,52.0,79.0,0.00748,0.3069,2.00e-06,0.00,0.00
1340,Red (P1),Random,LOSS,-0.0250,74,40.0,54.0,77.0,0.00745,0.3062,2.00e-06,0.00,0.00
1350,Red (P1),Self-Play,DRAW,-0.4650,500,37.0,55.0,76.0,0.00814,0.3055,2.00e-06,8.58,2.50
1360,Blk (P2),Self-Play,LOSS,-0.0500,78,37.0,53.0,76.0,0.00811,0.3048,2.00e-06,0.00,0.00
1370,Blk (P2),Pool: gen9_champion.pth,WIN ,1.0150,49,35.0,52.0,76.0,0.00811,0.3041,2.00e-06,0.00,0.00
1010,Red (P1),Self-Play,LOSS,-0.1200,148,66.7,71.4,100.0,0.00000,0.3293,2.00e-06,0.00,0.00
1020,Blk (P2),Random,WIN ,0.9490,129,37.5,58.3,100.0,0.00000,0.3286,2.00e-06,0.00,0.00
1030,Blk (P2),Pool: gen9_titan.pth,LOSS,-0.1140,142,33.3,53.3,100.0,0.00000,0.3279,2.00e-06,0.00,0.00
1040,Red (P1),Self-Play,LOSS,-0.0190,54,31.6,57.1,100.0,0.00000,0.3272,2.00e-06,0.00,0.00
1050,Blk (P2),Random,WIN ,1.0190,59,32.0,52.0,100.0,0.00000,0.3265,2.00e-06,0.00,0.00
1060,Blk (P2),Pool: gen9_champion.pth,WIN ,1.0100,47,34.5,48.4,100.0,0.00000,0.3258,2.00e-06,0.00,0.00
